feature,fval,shift,disc_rank,shift_good_rank,score
ch1_rise_ms,1.3315657662573663,0.024146197312470745,0.11290322580645161,0.967741935483871,0.4120967741935484
ch1_fall_ms,0.5592447612343435,0.018339077339433525,0.08064516129032258,0.9838709677419355,0.3967741935483871
ch2_fall_ms,2.1263147111733116,0.06265850818836578,0.14516129032258066,0.8548387096774194,0.3935483870967742
peak_time_ch2,12.945470178525516,0.44910438110433604,0.41935483870967744,0.3387096774193548,0.3911290322580645
fall_ratio,0.845416666271706,0.03239748887156501,0.0967741935483871,0.9354838709677419,0.39032258064516123
pf_ratio,6.721701744943972,0.1248963317856159,0.27419354838709675,0.5967741935483871,0.3870967741935484
zc_ch1,26.343855694986924,0.6696064651235966,0.532258064516129,0.11290322580645161,0.3854838709677419
ch2_env_skew,16.104873966807915,0.5176060726046202,0.45161290322580644,0.25806451612903225,0.3838709677419355
ch2_n_peaks,1.601487775299118,0.0744122220623139,0.12903225806451613,0.8064516129032258,0.3661290322580645
pf_ch1,6.541933271495967,0.17230028499815436,0.25806451612903225,0.532258064516129,0.3540322580645161
activation_time_diff,0.43493926955124507,0.042890100896035274,0.056451612903225805,0.8951612903225806,0.35
ch1_lead_ms,0.43493926955124507,0.042890100896035274,0.056451612903225805,0.8951612903225806,0.35
zc_ch2,10.039067481610594,0.4628494628216812,0.3548387096774194,0.3225806451612903,0.34354838709677415
peak_time_ch1,9.794343984572459,0.507986763745293,0.3387096774193548,0.2903225806451613,0.3217741935483871
ssc_ch1,18.6981494816267,0.8879081761811463,0.46774193548387094,0.03225806451612903,0.3153225806451613
ch1_crest,7.430229493920005,0.41613284230111125,0.2903225806451613,0.3548387096774194,0.31290322580645163
onset_lag_ms,4.679041813110379,0.3149726402638873,0.22580645161290322,0.43548387096774194,0.2991935483870968
ch1_n_peaks,2.413477869518023,0.15586438024218263,0.16129032258064516,0.5483870967741935,0.2967741935483871
ch2_rise_ms,0.3552121252457333,0.09930464629180825,0.03225806451612903,0.7258064516129032,0.275
ssc_ch2,10.571274833035083,0.6935628594973137,0.3709677419354839,0.08064516129032258,0.2693548387096774
ch2_crest,2.6979873604029536,0.3474457453582316,0.1774193548387097,0.4032258064516129,0.2564516129032258
rise_ratio,0.006888594124021424,0.11586186597176464,0.016129032258064516,0.6612903225806451,0.24193548387096772
coactivation_idx,7.796537339693479,0.6722890284985278,0.3064516129032258,0.0967741935483871,0.23306451612903228
corr_coef,8.723615203540502,1.5910461118663703,0.3225806451612903,0.016129032258064516,0.2153225806451613
duration,3.1204201414831276,0.5300806197563613,0.1935483870967742,0.24193548387096775,0.2104838709677419
file_cycle_count,5.054300239997945,0.6398056092948471,0.24193548387096775,0.12903225806451613,0.20241935483870968
