accuracy,precision_macro,recall_macro,f1_macro,scope,train_set,feature_set,n_features,model,decision,n_train_cycles,n_train_files,loso_file_f1,loso_file_precision,loso_file_recall,loso_subject_mean_f1,loso_subject_std_f1
0.5555555555555556,0.6805555555555555,0.5555555555555556,0.5047619047619047,cycle_to_file,data_plus_2_auto,stable15,15,ExtraTrees_shallow,mean_proba,339,74,0.7031292517006803,0.7136507936507938,0.7086940836940836,0.5419753086419753,0.2883793121016561
0.5555555555555556,0.6805555555555555,0.5555555555555556,0.5047619047619047,cycle_to_file,data_auto,shift_aware_top15,15,ExtraTrees_shallow,majority_vote,295,65,,,,,
0.5555555555555556,0.6805555555555555,0.5555555555555556,0.5047619047619047,cycle_to_file,data_plus_2_auto,stable15,15,SoftVote_LR_SVM_RF,mean_proba,339,74,0.7158119658119658,0.7200854700854701,0.7173520923520923,0.537037037037037,0.29338850958805296
0.6111111111111112,0.4372294372294372,0.6111111111111112,0.5037707390648567,cycle_to_file,standard_manual_plus_2_auto,all_cycle_features,62,KNN5,mean_proba,218,49,0.8582311408398365,0.8669892199303965,0.8557504873294347,0.5305555555555556,0.30486032017108233
0.5555555555555556,0.7000000000000001,0.5555555555555556,0.49927849927849915,cycle_to_file,data_plus_2_auto,time_amplitude,10,RBF_SVM,mean_proba,339,74,0.6487029741746723,0.6521539650342896,0.6554834054834054,0.4993827160493826,0.24970413829857202
0.5555555555555556,0.7000000000000001,0.5555555555555556,0.49927849927849915,cycle_to_file,standard_manual_plus_2_auto,time_amplitude,10,RBF_SVM,majority_vote,218,49,,,,,
0.5277777777777778,0.5575757575757576,0.5277777777777778,0.49381926683716965,cycle_to_file,data_plus_2_auto,invariant_synergy,50,RF_shallow,majority_vote,339,74,,,,,
0.5277777777777778,0.7548500881834214,0.5277777777777778,0.4937985990617569,cycle_to_file,data_auto,time_amplitude,10,KNN5,majority_vote,295,65,,,,,
0.5277777777777778,0.7548500881834214,0.5277777777777778,0.4937985990617569,cycle_to_file,standard_manual_plus_2_auto,time_amplitude,10,KNN5,majority_vote,218,49,,,,,
0.5277777777777778,0.7548500881834214,0.5277777777777778,0.4937985990617569,cycle_to_file,data_plus_2_auto,time_amplitude,10,KNN5,majority_vote,339,74,,,,,
0.5833333333333334,0.48148148148148145,0.5833333333333334,0.4908424908424909,cycle_to_file,data_auto,shift_aware_top15,15,RBF_SVM,majority_vote,295,65,,,,,
0.5,0.6444444444444445,0.5,0.48888888888888893,cycle_to_file,data_plus_2_auto,shift_aware_top15,15,GaussianNB,mean_proba,339,74,0.6834607887239467,0.7111754611754612,0.6778499278499278,0.5086419753086419,0.22340903930154662
0.5,0.6444444444444445,0.5,0.48888888888888893,cycle_to_file,data_plus_2_auto,shift_aware_top15,15,GaussianNB,majority_vote,339,74,,,,,
0.5277777777777778,0.49293372319688106,0.5277777777777778,0.4882232462877624,cycle_to_file,standard_manual_plus_2_auto,invariant_synergy,50,RF_shallow,mean_proba,218,49,0.6945399698340875,0.6947496947496946,0.7032163742690059,0.40624999999999994,0.3146615061076361
0.5277777777777778,0.513888888888889,0.5277777777777778,0.48605664488017436,cycle_to_file,standard_manual_data,invariant_synergy,50,LR_C0.1,majority_vote,174,40,0.7847222222222222,0.7871148459383753,0.7861111111111111,0.417094017094017,0.25548551194012614
0.5277777777777778,0.5548654244306418,0.5277777777777778,0.4858813700918964,cycle_to_file,standard_manual_data,literature28,28,ExtraTrees_shallow,mean_proba,174,40,0.9569444444444445,0.9607843137254902,0.9583333333333334,0.5846153846153845,0.30173724478678254
0.5277777777777778,0.5548654244306418,0.5277777777777778,0.4858813700918964,cycle_to_file,standard_manual_data,literature28,28,KNN5,mean_proba,174,40,0.9569444444444445,0.9607843137254902,0.9583333333333334,0.5846153846153845,0.30173724478678254
0.5277777777777778,0.6984126984126985,0.5277777777777778,0.4849673202614379,cycle_to_file,data_auto,literature28,28,ExtraTrees_shallow,mean_proba,295,65,0.7039525691699605,0.7066942719116632,0.7070342522974101,0.537037037037037,0.2844868795506892
0.5833333333333334,0.42697881828316614,0.5833333333333334,0.48380952380952386,cycle_to_file,data_auto,shift_aware_top15,15,LR_C0.03,mean_proba,295,65,,,,,
0.5833333333333334,0.42697881828316614,0.5833333333333334,0.48380952380952386,cycle_to_file,data_plus_2_auto,shift_aware_top15,15,LR_C0.1,mean_proba,339,74,,,,,
0.5833333333333334,0.42697881828316614,0.5833333333333334,0.48380952380952386,cycle_to_file,data_plus_2_auto,shift_aware_top15,15,LR_C0.03,mean_proba,339,74,,,,,
0.5555555555555556,0.49333333333333335,0.5555555555555555,0.4828828828828829,cycle_to_file,standard_manual_data,all_cycle_features,62,LR_C0.1,mean_proba,174,40,,,,,
